title,genre,prize,players,tournaments
NBA 2K Online,Sports,0.0,0,0
NBA 2K18,Sports,1000000.0,91,4
NBA 2K19,Sports,0.0,0,0
NBA 2K20,Sports,0.0,0,0
NBA 2K21,Sports,501.0,3,1
NHL '94,Sports,3818.56,25,8
NHL 12,Sports,702.93,6,2
NHL 13,Sports,70000.0,1,1
NHL 14,Sports,3023.96,6,3
NHL 15,Sports,3157.16,3,3
NHL 17,Sports,0.0,0,0
NHL 18,Sports,102700.0,20,6
NHL 19,Sports,22566.67,10,8
Nock,Sports,4050.0,12,2
Pro Evolution Soccer 2008,Sports,2084.15,6,3
Pro Evolution Soccer 2009,Sports,1395.97,5,2
Pro Evolution Soccer 2013,Sports,0.0,0,0
Pro Evolution Soccer 2014,Sports,29410.25,4,1
Pro Evolution Soccer 2015,Sports,26544.76,3,1
Pro Evolution Soccer 2016,Sports,27243.84,17,6
Pro Evolution Soccer 2017,Sports,514697.71,39,16
Pro Evolution Soccer 2018,Sports,250000.0,20,3
Pro Evolution Soccer 2019,Sports,216000.0,25,2
Pro Evolution Soccer 3,Sports,25000.0,8,2
Pro Evolution Soccer 4,Sports,40550.64,11,2
Pro Evolution Soccer 5,Sports,32000.0,4,1
Pro Evolution Soccer 6,Sports,20216.82,5,2
Racket: NX,Sports,500.0,3,1
Ragnaröck,Sports,0.0,0,0
Rezzil Player,Sports,51250.0,15,10
Rocket League,Sports,26864810.87,3300,2784
Rocket League Sideswipe,Sports,2500.0,1,1
Slapshot Rebound,Sports,0.0,0,0
Soccer Stars,Sports,0.0,0,0
SuperPlayer,Sports,1000.0,3,1
Synth Riders,Sports,2100.0,11,7
Walkabout Mini Golf,Sports,2000.0,7,2
Zwift,Sports,65370.76,10,7
Artifact Classic,Collectible Card Game,119584.34,276,172
Artifact Foundry,Collectible Card Game,1174.5,21,12
Faeria,Collectible Card Game,4100.0,12,5
Gwent,Collectible Card Game,1390997.17,343,120
Hand of the Gods,Collectible Card Game,94434.2,48,36
Hearthstone,Collectible Card Game,29451811.42,2999,1054
Hearthstone Battlegrounds,Collectible Card Game,603630.0,79,7
"KARDS, The World War II Card Game",Collectible Card Game,0.0,0,0
Legends of Runeterra,Collectible Card Game,526181.03,70,9
Magic: The Gathering Arena,Collectible Card Game,10088000.0,323,52
Magic: The Gathering Online,Collectible Card Game,1218000.0,130,10
Mythgard,Collectible Card Game,3000.0,9,3
Pokémon TCG,Collectible Card Game,0.0,0,0
Shadowverse,Collectible Card Game,5508473.29,248,44
Shardbound,Collectible Card Game,0.0,0,0
The Elder Scrolls: Legends,Collectible Card Game,5000.0,3,1
Yu-Gi-Oh! Duel Links,Collectible Card Game,48746.72,328,219
Catherine,Puzzle Game,1545.0,11,7
Catherine: Full Body,Puzzle Game,185.0,3,1
Cultris II,Puzzle Game,190.95,3,1
Jstris,Puzzle Game,275.0,12,2
Magical Drop III,Puzzle Game,130.0,3,1
Microsoft Excel,Puzzle Game,3200.0,17,8
Pac-man,Puzzle Game,0.0,0,0
Panel Attack,Puzzle Game,140.0,5,2
Puyo Puyo Champions,Puzzle Game,2482.3,14,5
Puyo Puyo Tetris,Puzzle Game,3422.84,31,16
Puyo Puyo Tetris 2,Puzzle Game,896.02,10,2
Tetr.io,Puzzle Game,5287.88,27,13
Tetris,Puzzle Game,42515.99,67,28
Tetris Effect: Connected,Puzzle Game,1934.91,12,3
Tetris Ultimate,Puzzle Game,221.0,3,1
Twinkle Star Sprites,Puzzle Game,150.0,4,2
Wise Star 2,Puzzle Game,12000.0,3,1
Apex Legends,Battle Royale,16531885.35,2073,686
Apex Legends Mobile,Battle Royale,0.0,0,0
Ark: Survival Of The Fittest,Battle Royale,0.0,0,0
Fall Guys,Battle Royale,340273.83,250,7
Fortnite,Battle Royale,147185741.05,5973,1062
Free Fire,Battle Royale,14158921.91,1415,75
H1Z1,Battle Royale,2067122.0,119,13
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,62916855.49,3364,229
PLAYERUNKNOWN’S BATTLEGROUNDS,Battle Royale,52339203.06,3517,554
Radical Heights,Battle Royale,120000.0,12,2
Ring of Elysium,Battle Royale,70000.0,9,4
Rocket Arena,Battle Royale,100000.0,24,3
Rules Of Survival,Battle Royale,0.0,0,0
Spellbreak,Battle Royale,50000.0,42,1
Super People,Battle Royale,144526.0,95,11
Gears 5,Third-Person Shooter,2320920.0,163,112
Gears of War,Third-Person Shooter,252195.57,33,18
Gears of War 2,Third-Person Shooter,135000.0,0,5
Gears of War 3,Third-Person Shooter,7255.81,13,4
Gears of War 4,Third-Person Shooter,3142785.0,155,152
Gears of War: Ultimate Edition,Third-Person Shooter,170000.0,39,3
Knockout City,Third-Person Shooter,0.0,0,0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON,Third-Person Shooter,420.0,12,2
Rogue Company,Third-Person Shooter,50000.0,48,2
The Division 2,Third-Person Shooter,27250.0,40,2
Beat Saber,Music / Rhythm Game,16175.56,58,10
osu!,Music / Rhythm Game,175823.14,1502,120
